codepoint,character,name
1CDC5,𜷅,BLOCK OCTANT-24578
1CDC6,𜷆,BLOCK OCTANT-124578
1CDC7,𜷇,BLOCK OCTANT-34578
1CDC8,𜷈,BLOCK OCTANT-134578
1CDC9,𜷉,BLOCK OCTANT-234578
1CDCA,𜷊,BLOCK OCTANT-1234578
1CDCB,𜷋,BLOCK OCTANT-678
1CDCC,𜷌,BLOCK OCTANT-1678
1CDCD,𜷍,BLOCK OCTANT-2678
1CDCE,𜷎,BLOCK OCTANT-12678
1CDCF,𜷏,BLOCK OCTANT-3678
1CDD0,𜷐,BLOCK OCTANT-13678
1CDD1,𜷑,BLOCK OCTANT-23678
1CDD2,𜷒,BLOCK OCTANT-123678
1CDD3,𜷓,BLOCK OCTANT-4678
1CDD4,𜷔,BLOCK OCTANT-14678
1CDD5,𜷕,BLOCK OCTANT-24678
1CDD6,𜷖,BLOCK OCTANT-124678
1CDD7,𜷗,BLOCK OCTANT-34678
1CDD8,𜷘,BLOCK OCTANT-134678
1CDD9,𜷙,BLOCK OCTANT-234678
1CDDA,𜷚,BLOCK OCTANT-1234678
1CDDB,𜷛,BLOCK OCTANT-15678
1CDDC,𜷜,BLOCK OCTANT-25678
1CDDD,𜷝,BLOCK OCTANT-125678
1CDDE,𜷞,BLOCK OCTANT-35678
1CDDF,𜷟,BLOCK OCTANT-235678
1CDE0,𜷠,BLOCK OCTANT-1235678
1CDE1,𜷡,BLOCK OCTANT-45678
1CDE2,𜷢,BLOCK OCTANT-145678
1CDE3,𜷣,BLOCK OCTANT-1245678
1CDE4,𜷤,BLOCK OCTANT-1345678
1CDE5,𜷥,BLOCK OCTANT-2345678
1CE51,𜹑,SEPARATED BLOCK SEXTANT-1
1CE52,𜹒,SEPARATED BLOCK SEXTANT-2
1CE53,𜹓,SEPARATED BLOCK SEXTANT-12
1CE54,𜹔,SEPARATED BLOCK SEXTANT-3
1CE55,𜹕,SEPARATED BLOCK SEXTANT-13
1CE56,𜹖,SEPARATED BLOCK SEXTANT-23
1CE57,𜹗,SEPARATED BLOCK SEXTANT-123
1CE58,𜹘,SEPARATED BLOCK SEXTANT-4
1CE59,𜹙,SEPARATED BLOCK SEXTANT-14
1CE5A,𜹚,SEPARATED BLOCK SEXTANT-24
1CE5B,𜹛,SEPARATED BLOCK SEXTANT-124
1CE5C,𜹜,SEPARATED BLOCK SEXTANT-34
1CE5D,𜹝,SEPARATED BLOCK SEXTANT-134
1CE5E,𜹞,SEPARATED BLOCK SEXTANT-234
1CE5F,𜹟,SEPARATED BLOCK SEXTANT-1234
