codepoint,character,name
1CC05,𜰅,LOWER HORIZONTAL RULER SEGMENT
1CC06,𜰆,RIGHT VERTICAL RULER SEGMENT
1CC07,𜰇,LOWER RIGHT RULER SEGMENT
1CC08,𜰈,ANTENNA
1CC09,𜰉,HORIZONTAL RESISTOR SEGMENT
1CC0A,𜰊,VERTICAL RESISTOR SEGMENT
1CC0B,𜰋,LEFT THIRD INDUCTOR
1CC0C,𜰌,MIDDLE THIRD INDUCTOR
1CC0D,𜰍,RIGHT THIRD INDUCTOR
1CC0E,𜰎,LEFT-POINTING DIODE
1CC0F,𜰏,RIGHT-POINTING DIODE
1CC10,𜰐,NPN TRANSISTOR
1CC11,𜰑,PNP TRANSISTOR
1CC12,𜰒,RECEPTACLE
1CC13,𜰓,HORIZONTAL CAPACITOR
1CC14,𜰔,VERTICAL CAPACITOR
1CC15,𜰕,LOGIC GATE OR
1CC16,𜰖,LOGIC GATE AND
1CC17,𜰗,LOGIC GATE INVERTED INPUTS
1CC18,𜰘,LOGIC GATE INVERTED OUTPUT
1CC19,𜰙,LOGIC GATE BUFFER
1CC1A,𜰚,LOGIC GATE BUFFER WITH INVERTED INPUT
1CC1B,𜰛,BOX DRAWINGS LIGHT HORIZONTAL AND UPPER RIGHT
1CC1C,𜰜,BOX DRAWINGS LIGHT HORIZONTAL AND LOWER RIGHT
1CC1D,𜰝,BOX DRAWINGS LIGHT TOP AND UPPER LEFT
1CC1E,𜰞,BOX DRAWINGS LIGHT BOTTOM AND LOWER LEFT
1CC1F,𜰟,BOX DRAWINGS DOUBLE DIAGONAL UPPER RIGHT TO LOWER LEFT
1CC20,𜰠,BOX DRAWINGS DOUBLE DIAGONAL UPPER LEFT TO LOWER RIGHT
1CC21,𜰡,SEPARATED BLOCK QUADRANT-1
1CC22,𜰢,SEPARATED BLOCK QUADRANT-2
1CC23,𜰣,SEPARATED BLOCK QUADRANT-12
1CC24,𜰤,SEPARATED BLOCK QUADRANT-3
1CC25,𜰥,SEPARATED BLOCK QUADRANT-13
1CC26,𜰦,SEPARATED BLOCK QUADRANT-23
1CC27,𜰧,SEPARATED BLOCK QUADRANT-123
1CC28,𜰨,SEPARATED BLOCK QUADRANT-4
1CC29,𜰩,SEPARATED BLOCK QUADRANT-14
1CC2A,𜰪,SEPARATED BLOCK QUADRANT-24
1CC2B,𜰫,SEPARATED BLOCK QUADRANT-124
1CC2C,𜰬,SEPARATED BLOCK QUADRANT-34
1CC2D,𜰭,SEPARATED BLOCK QUADRANT-134
1CC2E,𜰮,SEPARATED BLOCK QUADRANT-234
1CC2F,𜰯,SEPARATED BLOCK QUADRANT-1234
1CC30,𜰰,UPPER LEFT TWELFTH CIRCLE
1CC31,𜰱,UPPER CENTRE LEFT TWELFTH CIRCLE
1CC32,𜰲,UPPER CENTRE RIGHT TWELFTH CIRCLE
1CC33,𜰳,UPPER RIGHT TWELFTH CIRCLE
1CC34,𜰴,UPPER MIDDLE LEFT TWELFTH CIRCLE
1CC35,𜰵,UPPER LEFT QUARTER CIRCLE
1CC36,𜰶,UPPER RIGHT QUARTER CIRCLE
1CC37,𜰷,UPPER MIDDLE RIGHT TWELFTH CIRCLE
1CC38,𜰸,LOWER MIDDLE LEFT TWELFTH CIRCLE
1CC39,𜰹,LOWER LEFT QUARTER CIRCLE
1CC3A,𜰺,LOWER RIGHT QUARTER CIRCLE
1CC3B,𜰻,LOWER MIDDLE RIGHT TWELFTH CIRCLE
1CC3C,𜰼,LOWER LEFT TWELFTH CIRCLE
1CC3D,𜰽,LOWER CENTRE LEFT TWELFTH CIRCLE
1CC3E,𜰾,LOWER CENTRE RIGHT TWELFTH CIRCLE
1CC3F,𜰿,LOWER RIGHT TWELFTH CIRCLE
1CC40,𜱀,SPARSE HORIZONTAL FILL
1CC41,𜱁,SPARSE VERTICAL FILL
1CC42,𜱂,ORTHOGONAL CROSSHATCH FILL
1CC43,𜱃,DIAGONAL CROSSHATCH FILL
1CC44,𜱄,DENSE VERTICAL FILL
1CC45,𜱅,DENSE HORIZONTAL FILL
1CC46,𜱆,SPECKLE FILL FRAME-1
1CC47,𜱇,SPECKLE FILL FRAME-2
1CC48,𜱈,LEFT-FACING BASSINET
1CC49,𜱉,RIGHT-FACING BASSINET
1CC4A,𜱊,FLYING SAUCER WITH BEAMS
1CC4B,𜱋,FLYING SAUCER WITHOUT BEAMS
1CC4C,𜱌,ALIEN MONSTER OPEN JAWS
1CC4D,𜱍,ALIEN MONSTER CLOSED JAWS
1CC4E,𜱎,ALIEN SQUID OPEN TENTACLES
1CC4F,𜱏,ALIEN SQUID CLOSED TENTACLES
1CC50,𜱐,ALIEN CRAB STEPPING RIGHT
1CC51,𜱑,ALIEN CRAB STEPPING LEFT
1CC52,𜱒,ALIEN SPIDER CROUCHING
1CC53,𜱓,ALIEN SPIDER SPREAD
1CC54,𜱔,ALIEN MONSTER STEP-1
1CC55,𜱕,ALIEN MONSTER STEP-2
1CC56,𜱖,LEFT-POINTING ROCKET SHIP
1CC57,𜱗,UP-POINTING ROCKET SHIP
1CC58,𜱘,RIGHT-POINTING ROCKET SHIP
1CC59,𜱙,DOWN-POINTING ROCKET SHIP
1CC5A,𜱚,TOP HALF LEFT-FACING ROBOT
1CC5B,𜱛,TOP HALF FORWARD-FACING ROBOT
1CC5C,𜱜,TOP HALF RIGHT-FACING ROBOT
1CC5D,𜱝,BOTTOM HALF LEFT-FACING ROBOT
1CC5E,𜱞,BOTTOM HALF FORWARD-FACING ROBOT
1CC5F,𜱟,BOTTOM HALF RIGHT-FACING ROBOT
1CC60,𜱠,LEFT-POINTING ATOMIC BOMB
1CC61,𜱡,UP-POINTING ATOMIC BOMB
1CC62,𜱢,RIGHT-POINTING ATOMIC BOMB
1CC63,𜱣,DOWN-POINTING ATOMIC BOMB
1CC64,𜱤,MUSHROOM CLOUD
1CC65,𜱥,LEFT-POINTING RIFLE
1CC66,𜱦,UP-POINTING RIFLE
1CC67,𜱧,RIGHT-POINTING RIFLE
1CC68,𜱨,DOWN-POINTING RIFLE
1CC69,𜱩,EIGHT RAYS INWARD
1CC6A,𜱪,EIGHT RAYS OUTWARD
1CC6B,𜱫,BLACK LARGE CIRCLE MINUS LEFT QUARTER SECTION
1CC6C,𜱬,BLACK LARGE CIRCLE MINUS UPPER QUARTER SECTION
1CC6D,𜱭,BLACK LARGE CIRCLE MINUS RIGHT QUARTER SECTION
